Price,Close,High,Low,Open,Volume
Ticker,GS,GS,GS,GS,GS
Date,,,,,
2020-01-02,207.32919311523438,207.61232598761015,203.64837126621418,204.39161024500802,3736300
2020-01-03,204.90480041503906,205.81615585432922,203.77224193706365,204.92250043845922,2274500
2020-01-06,207.00181579589844,207.06375913174512,203.05556086245807,203.44486689757989,3329300
2020-01-07,208.36444091796875,210.38181176114722,207.71851825678536,207.93087805649594,5255200
2020-01-08,210.37295532226562,212.13373655702642,208.35558447597697,208.53254422542688,3564700
2020-01-09,214.65541076660156,215.3632496123875,212.19563432436192,213.54053893228365,3980700
2020-01-10,214.22190856933594,215.35446724421985,213.5848426270682,214.7881879067779,2248100
2020-01-13,216.96478271484375,217.7611082107411,215.0093420177108,216.28347361207562,3359200
2020-01-14,217.3629608154297,219.8935241604299,216.42506207587755,217.06212791805677,4302800
2020-01-15,216.96478271484375,220.76062071365777,211.61166676684542,214.12452991064202,5411200
2020-01-16,220.955322265625,221.0438088935395,217.86732256723747,218.5574750612462,3968400
2020-01-17,220.72528076171875,221.61009305555825,219.4334488722008,221.40657650713698,3108400
2020-01-21,217.39833068847656,220.18549690954137,217.30985757900288,218.734405602793,2492400
2020-01-22,218.59286499023438,219.8935400535952,217.96464236392654,218.20354544730142,2030900
2020-01-23,217.2921905517578,218.54862230682343,214.9032002146284,216.3365917166734,2806800
2020-01-24,214.05374145507812,217.40718687227218,212.8857965045374,216.8409076687334,2877400
2020-01-27,210.70919799804688,211.46129384428968,207.93973121263602,209.14307646592607,2506200
2020-01-28,214.6376953125,215.52250730727437,210.629498056265,211.9036294889256,3123000
2020-01-29,212.4611358642578,218.10624294315943,211.97449987566142,216.35431828118357,3711600
2020-01-30,216.0092010498047,216.19500404628798,209.46158284056753,210.31100847083547,3261700
2020-01-31,210.36410522460938,214.91203949362486,209.59432291387571,214.1157138963944,3482800
2020-02-03,211.47894287109375,214.469612198505,210.6295307847745,210.90382038558928,2733000
2020-02-04,214.07144165039062,215.66410613074342,213.72636547141096,214.9031671846394,3052500
2020-02-05,216.15966796875,216.89406386712508,215.00940917007617,216.7701906734935,3126600
2020-02-06,213.96531677246094,217.46032265569104,213.3990239395923,217.08870310999419,2225600
2020-02-07,210.58531188964844,212.8150425017469,209.30233684937693,212.13373330060173,3006500
2020-02-10,210.01904296875,210.47029237037447,208.337905040034,210.05442951937854,2591300
2020-02-11,209.2227020263672,211.95676852687,209.01034223462568,211.47011910902253,2238800
2020-02-12,211.16043090820312,213.3990047447702,210.3375620241393,210.59415162743446,2119200
2020-02-13,210.89495849609375,211.44353764926672,209.3199941198819,210.45255246904188,1461300
2020-02-14,209.7712860107422,211.4789671414284,209.01919021154222,210.53222507186143,1718700
2020-02-18,206.34706115722656,209.76243682328192,204.5685799767731,209.30233069437483,2736500
2020-02-19,209.99246215820312,210.40832493489103,206.40897037029055,207.93084829749705,2207100
2020-02-20,205.92236328125,209.61202896075696,204.61284485450716,209.17847957348607,3183700
2020-02-21,204.05538940429688,205.0994748421903,202.0645619137041,204.3119925081801,3081600
